,Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,SMA,STD,Bollinger Upper,Bollinger Lower,Momentum,Williams %14,Stochastic %K with window size14,Stochastic %D with window size 3,Symbol,Series
72,2008-07-22,476.35,485.0,525.9,475.0,514.9,516.45,510.21,1505465,76810921420000.0,44922.58835504886,274230,0.1822,497.68999999999994,36.98258338305597,571.6551667661118,423.72483323388803,0.03354861879976806,-48.337524448169866,81.4341846758351,52.652701476307165,MUNDRAPORT,EQ
73,2008-07-23,516.45,539.95,568.8,539.95,552.1,553.55,553.42,889636,49233961625000.0,44922.58835504886,217015,0.2439,497.88250000000005,37.276404541301886,572.4353090826038,423.3296909173963,0.03609134602057991,-27.76060691205399,47.140381282495504,61.78179976388799,MUNDRAPORT,EQ
74,2008-07-24,553.55,563.3,593.0,555.05,581.8,584.6,580.67,1134530,65878244915000.0,44922.58835504886,256541,0.2261,500.68999999999994,41.56731256269381,583.8246251253876,417.5553748746123,0.03823376715185191,-10.311885361056488,77.86561264822143,68.81339286885067,MUNDRAPORT,EQ
75,2008-07-25,584.6,575.0,610.9,551.15,586.0,587.8,591.07,1464874,86584587325000.0,44922.58835504886,192411,0.1313,505.28000000000003,45.86810725502372,597.0162145100475,413.5437854899526,0.041896218611962674,-12.426035502958593,61.33891213389118,62.1149686882027,MUNDRAPORT,EQ
76,2008-07-28,587.8,580.0,606.95,580.0,587.0,588.45,595.04,746465,44417664110000.0,44922.58835504886,67756,0.0908,509.995,49.37638978724054,608.7477795744811,411.2422204255189,0.04586889478342249,-14.877402253147737,31.354359925788614,56.8529615693004,MUNDRAPORT,EQ
77,2008-07-29,588.45,580.0,617.0,540.1,554.95,554.7,581.47,2243341,130442653705000.0,44922.58835504886,400953,0.1787,513.8225,49.74353561546233,613.3095712309247,414.33542876907535,0.05402292068553934,-39.68152866242035,18.985695708712647,37.22632258946414,MUNDRAPORT,EQ
78,2008-07-30,554.7,570.0,585.0,555.05,567.0,563.9,567.72,1003847,56989910600000.0,44922.58835504886,241559,0.2405999999999999,517.9525,50.32675984582551,618.606019691651,417.298980308349,0.06263267576351575,-33.821656050955426,29.549248747913218,26.62976812747149,MUNDRAPORT,EQ
79,2008-07-31,563.9,571.0,585.0,565.0,576.0,578.0,576.71,715753,41278513475000.0,44922.58835504886,134537,0.188,524.685,48.804934230706586,622.2948684614131,427.0751315385868,0.0712510261728947,-24.840764331210192,65.0,37.84498148554195,MUNDRAPORT,EQ
80,2008-08-01,578.0,570.0,584.0,555.55,577.0,576.25,572.83,658570,37725136690000.0,44922.58835504886,112300,0.1705,530.9775,46.794785682869524,624.567071365739,437.3879286342609,0.08245415297338674,-25.955414012738853,72.75922671353256,55.769491820481925,MUNDRAPORT,EQ
81,2008-08-04,576.25,576.0,597.9,571.15,583.1,585.05,587.47,527239,30973828580000.0,44922.58835504886,99855,0.1894,536.8625,45.761394540197045,628.385289080394,445.33971091960586,0.09135272916106518,-20.35031847133761,51.96261682242982,63.24061451198745,MUNDRAPORT,EQ
82,2008-08-05,585.05,585.05,600.0,580.0,589.0,587.0,589.17,522809,30802217875000.0,44922.58835504886,135948,0.26,543.24,43.22257146689602,629.685142933792,456.79485706620795,0.0997741332388072,-19.10828025477707,35.0,53.24061451198745,MUNDRAPORT,EQ
83,2008-08-06,587.0,600.5,605.4,570.0,578.0,576.65,590.66,494133,29186254640000.0,44922.58835504886,123874,0.2507,544.505,43.83826404794386,632.1815280958878,456.8284719041123,0.10766607502266991,-25.700636942675175,18.785310734463224,35.24930918563101,MUNDRAPORT,EQ
84,2008-08-07,576.65,576.65,590.0,571.3,572.0,573.75,580.39,510311,29617997425000.0,44922.58835504886,149418,0.2928,544.8050000000001,44.025838406199895,632.8566768123999,456.75332318760024,0.1098414783660474,-27.547770700636942,13.101604278075078,22.29563833751276,MUNDRAPORT,EQ
85,2008-08-08,573.75,570.0,590.7,565.0,581.0,581.55,578.5,565925,32738676160000.004,44922.58835504886,127576,0.2254,546.5649999999999,44.787845214385676,636.1406904287713,456.9893095712286,0.1135070287378228,-24.9647887323944,64.39688715953278,32.094600724023685,MUNDRAPORT,EQ
